status,practice_name,city,state,specialty,providers_estimate,owner_or_pm_name,title,email,phone,website,source,first_outreach_date,channel,reply_received,call_booked,call_date,outcome,notes
📧 SENT,PHYT Collective PT,Washington,DC,Physical therapy,3-5,Ashley Speights DPT,Owner/Founder,getPHYT@phytcollective.com,202-505-6300,https://phytcollective.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led 2-location DC PT (pelvic + ortho).
📧 SENT,Washington Wellness PT,Washington,DC,Physical therapy,3-5,,,Hst@washingtonwellnesspt.com,(202) 347-2373,https://www.washingtonwellnesspt.com,research 2026-06-04,2026-06-04,email,,,,,Outpatient private PT (H St + Mass Ave).
📧 SENT,Long Island Sports & Rehabilitation Center,Holbrook,NY,Physical therapy,3-5,Lois Cloud-Malenczak PT,Owner/Director since 1982,LCloud@LISRC.com,631-563-8400,https://lisrc.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led PT since 1982.
📧 SENT,Buttonloop Children's Therapies,Peabody,MA,Pediatric OT/speech,3-5,,,admin@buttonloop.com,(978) 535-3355,https://buttonlooptherapies.com,research 2026-06-04,2026-06-04,email,,,,,Founded by a working mom; speech + OT + feeding.
📧 SENT,Tampa Bay Dermatology,Tampa,FL,Dermatology,1-3,Joshua Brady MD,Owner,info@tbderm.com,(813) 771-5500,https://tbderm.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led Tampa dermatology.
📧 SENT,Washington Institute of Dermatologic Laser Surgery,Washington,DC,Dermatology,1-3,,,info@skinlaser.com,202-628-8855,https://skinlaser.com,research 2026-06-04,2026-06-04,email,,,,,DC dermatologic laser surgery.
📧 SENT,Princeton Psychotherapy Center,Princeton,NJ,Psychotherapy,3-5,,,info@princeton-therapy.com,,https://princeton-therapy.com,research 2026-06-04,2026-06-04,email,,,,,Princeton psychotherapy.
📧 SENT,Khalsa Chiropractic Office,Boston (Back Bay),MA,Chiropractic,1-3,,,backbay@khalsachiropractic.com,,https://khalsachiropractic.com,research 2026-06-04,2026-06-04,email,,,,,Back Bay Boston chiropractic.
📧 SENT,Dr. Fisel ND,Guilford + Hamden,CT,Naturopathic medicine,1-3,Dr. Fisel ND,Owner,info@drfisel.com,,https://drfisel.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led naturopathic + IV therapy.
📧 SENT,Life in Progress Mental Health Counseling,Brooklyn,NY,Behavioral health (counseling),1-3,,,info@lifeinprogresscounseling.com,,https://lifeinprogresscounseling.com,research 2026-06-04,2026-06-04,email,,,,,Sheepshead Bay Brooklyn counseling.
📧 SENT,Stamford Physical Therapy,Stamford,CT,Physical therapy,1-3,,,contact@stamfordpt.com,(475) 619-9199,https://stamfordpt.com,research 2026-06-04,2026-06-04,email,,,,,Stamford PT.
📧 SENT,Atlantic Eye,Monmouth County,NJ,Optometry,5-10,,,info@atlanticeye.com,,https://atlanticeye.com,research 2026-06-04,2026-06-04,email,,,,,4 NJ locations (Eatontown + Little Silver + Holmdel + Wall Township).
📧 SENT,Nashville Physical Therapy & Performance,Nashville,TN,Physical therapy,5-10,,,info@nashvillept.com,615-428-9213,https://www.nashvillephysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,3 Nashville locations. 9-PT team.
📧 SENT,P3 Nashville Physical Therapy,Nashville,TN,Physical therapy,1-3,,,info@P3nashville.com,615.891.4037,https://p3nashville.com,research 2026-06-04,2026-06-04,email,,,,,Solo location West End.
📧 SENT,Cairn Strength & Physical Therapy,Memphis,TN,Physical therapy,1-3,,,info@cairnstrength.com,(901) 272-2205,https://cairnstrength.com,research 2026-06-04,2026-06-04,email,,,,,Therapist-owned per site.
📧 SENT,Anew U Counseling Services PLLC,Raleigh,NC,Behavioral health (counseling),1-5,,,info@anewucs.com,,,research 2026-06-04,2026-06-04,email,,,,,Counseling private practice.
📧 SENT,Calming Waters Counseling Services,Charlotte,NC,Behavioral health (counseling),1-5,,,info@amandaklcsw.com,,,research 2026-06-04,2026-06-04,email,,,,,"Family-oriented mental health, Cresswind Blvd."
❌ OON,Charlotte Mental Health Services,Charlotte,NC,Behavioral health (counseling),3-5,,,admin@charlottementalhealthservices.com,,https://charlottementalhealthservices.com,research 2026-06-04,2026-06-04,email,2026-06-04,,,OON practice - offered referrals to in-network practices,Charlotte counseling group.
📧 SENT,Dental Boutique NYC,Manhattan NYC,NY,Dental,1-3,Carlos J. Huerta,Owner,info@dentalboutiquenyc.com,(646) 649-3116,https://dentalboutiquenyc.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led Manhattan dental.
📧 SENT,Behavioral Health Dallas,Dallas,TX,Behavioral health (counseling),3-5,,,info@behavioralhealthdallas.com,(214) 383-8145,https://behavioralhealthdallas.com,research 2026-06-04,2026-06-04,email,,,,,Counseling/therapy practice.
📧 SENT,Active Health Chiropractic NYC,Manhattan NYC,NY,Chiropractic,1-3,,,info@ahc-nyc.com,,,research 2026-06-04,2026-06-04,email,,,,,Long Island + NYC chiropractic.
📧 SENT,OrthoRehab Specialists,Minneapolis,MN,Physical therapy (orthopedic),5-10,,,staff@orthorehabpt.com,612.339.2041,https://orthorehabpt.com,research 2026-06-04,2026-06-04,email,,,,,3 MN locations.
📧 SENT,IROC Physical Therapy + Personal Training,Indianapolis,IN,Physical therapy,1-3,,,staci@irocpt.com,(317) 688-7660,https://irocpt.com,research 2026-06-04,2026-06-04,email,,,,,Indianapolis + Avon locations.
📧 SENT,PT 360 Sports Medicine,Portland,OR,Physical therapy (sports),1-3,,,Hello@PT-360.com,(503) 248-0360,https://pt-360.com,research 2026-06-04,2026-06-04,email,,,,,Portland sports PT.
📧 SENT,IPA Physio Portland,Portland,OR,Physical therapy,1-3,,,info@ipa-physio.com,,https://ipa.physio,research 2026-06-04,2026-06-04,email,,,,,Portland movement-as-medicine PT.
📧 SENT,Rose City Physical Therapy,Portland,OR,Physical therapy,1-3,,,reception@rosecitypt.com,(503) 228-1306,https://rosecitypt.com,research 2026-06-04,2026-06-04,email,,,,,Portland NW district PT.
📧 SENT,BeWELL Psychotherapy,Hoboken,NJ,Behavioral health (counseling),3-5,,,contact@bewellpsychotherapy.com,646-863-0101,https://www.bewellpsychotherapy.com,research 2026-06-04,2026-06-04,email,,,,,Hoboken psychotherapy.
📧 SENT,Footprint NJ,Jersey City,NJ,Behavioral health (counseling),3-5,,,info@footprintnj.com,(201) 677-2232,https://www.footprintnj.com,research 2026-06-04,2026-06-04,email,,,,,Jersey City in-person + online therapy.
📧 SENT,Maryland Wellness,Baltimore,MD,Behavioral health (counseling),3-5,,,info@mdwellness.org,410-314-1030,https://mdwellness.org,research 2026-06-04,2026-06-04,email,,,,,Baltimore mental health.
📧 SENT,NY Family Docs,Brooklyn + Queens,NY,Family medicine,5-10,,,info@nyfamilydocs.com,718-805-0037,https://nyfamilydocs.com,research 2026-06-04,2026-06-04,email,,,,,6 offices across Brooklyn/Queens.
📧 SENT,EyeCare Associates of CT,Southport (+ 5 more CT/NY locations),CT,Optometry,5-10,Randy Schulman OD,Principal,eyecareassociatesct@gmail.com,203-255-4005,https://www.cteyecareassociates.com,research 2026-06-04,2026-06-04,email,,,,,6 locations CT + NY. Principal Randy Schulman.
📧 SENT,Boston Harbor Acupuncture,Boston,MA,Acupuncture,1-3,Robert P. Surabian,Owner,robert@bostonharboracupuncture.com,,https://bostonharboracupuncture.com,research 2026-06-04,2026-06-04,email,,,,,"Solo licensed acupuncturist, Downtown Crossing."
📧 SENT,Optometric Specialty Group,West Hartford + Simsbury + Wethersfield,CT,Optometry,3-5,,,nicole@osgeye.com,(860) 236-1218,https://osgeye.com,research 2026-06-04,2026-06-04,email,,,,,3 CT locations.
📧 SENT,New England Integrated Health (Pam Zaley),Cambridge,MA,Acupuncture/integrative,1-3,Pam Zaley,Practitioner,pam@newenglandintegratedhealth.com,617-297-8549,,research 2026-06-04,2026-06-04,email,,,,,Acupuncture practitioner; Cambridge + MIT Health locations.
📧 SENT,Savant Care,San Francisco,CA,Behavioral health (psychiatry),5-10,,,intake@savantcare.com,,https://savantcare.com,research 2026-06-04,2026-06-04,email,,,,,Financial District mental health.
📧 SENT,Proactive Physical Therapy,Somers,NY,Physical therapy,3-5,,,physicaltherapy@proactiveptny.com,(914) 617-8211,https://proactiveptny.com,research 2026-06-04,2026-06-04,email,,,,,Serves Westchester/Putnam/CT.
📧 SENT,Total Body Physical Therapy,Norwalk,CT,Physical therapy,1-3,,,info@totalbodyphysicaltherapy.com,,https://totalbodyphysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,Solo Norwalk PT.
📧 SENT,Path Group of Atlanta,Atlanta,GA,Behavioral health (adult/child psych),10+,,,office@pathgroupatl.com,,https://pathgroupatl.com,research 2026-06-04,2026-06-04,email,,,,,Atlanta adult/child/adolescent psychiatry.
📧 SENT,Premier Physical Therapy,Hanahan,SC,Physical therapy,1-3,,,info@premierphysicaltherapy.us,(843) 797-5167,https://premierphysicaltherapy.us,research 2026-06-04,2026-06-04,email,,,,,Charleston-area PT.
📧 SENT,Atlas Physical Therapy,North Charleston,SC,Physical therapy,3-5,,,info@atlasptsc.com,843-225-6985,https://atlasptsc.com,research 2026-06-04,2026-06-04,email,,,,,3 SC locations (N Charleston/Summerville/Mt Pleasant).
📧 SENT,Southern Connecticut Speech & Language Therapy,Connecticut,CT,Pediatric speech,1-3,Isabel,Owner,isabel@sctspeech.com,,https://sctspeech.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led pediatric speech.
📧 SENT,ALTA Sports Physical Therapy & Pilates,Boulder,CO,Physical therapy (sports),5-10,,,info@altatherapies.com,303-444-8707,https://altatherapies.com,research 2026-06-04,2026-06-04,email,,,,,Boulder sports PT + Pilates.
📧 SENT,Bay Ridge Smiles Pediatric Dentistry,Brooklyn,NY,Pediatric dentistry,1-3,,,bayridgesmilesPD@gmail.com,,https://www.bayridge-smiles.com,research 2026-06-04,2026-06-04,email,,,,,Brooklyn pediatric dental.
📧 SENT,Bay Ridge Periodontist (Michelle Bailey DDS),Brooklyn,NY,Periodontics,1-3,Michelle Bailey,DDS,bailey@bayridgeperiodontist.com,,https://www.bayridgeperiodontist.com,research 2026-06-04,2026-06-04,email,,,,,Solo periodontist Brooklyn.
📧 SENT,SMART Physical Therapy,New London,NH,Physical therapy,1-3,Tim,Owner,tim@smartptnh.com,(603) 526-7627,https://smartptnh.com,research 2026-06-04,2026-06-04,email,,,,,Solo PT NH.
📧 SENT,Community Care Physical Therapy,San Diego,CA,Physical therapy,3-5,,,info@communitycarept.com,(619) 333-9182,https://communitycarephysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,2 SD locations (Liberty Station + Mira Mesa).
❌ OON,Bella Physical Therapy,Rochelle Park,NJ,Physical therapy,1-3,,,info@bellaphysicaltherapy.com,(201) 791-0008,http://bellaphysicaltherapy.com,research 2026-06-04,2026-06-04,email,2026-06-04,,,OON practice - asked if Overturn works with out-of-network,PT-owned Bergen County since 2006.
📧 SENT,Wholesome Psychiatry LLC,Boston + Miami,MA/FL,Behavioral health (psychiatry),1-3,Dorothy Borkiewicz PMHNP-BC,Founder,contact@wholesomepsychiatry.com,(617) 313-7360,https://wholesomepsychiatry.com,research 2026-06-04,2026-06-04,email,,,,,Founder-led PMHNP psych practice.
📧 SENT,Mind Matters Mental Health Counseling,White Plains,NY,Behavioral health (counseling),1-3,Minerva Guerrero PhD LMHC,Owner,mguerrero@mindmattersmhc.com,914-222-3295,https://mindmattersmhc.com,research 2026-06-04,2026-06-04,email,,,,,"Owner-led counseling, Scarsdale/White Plains."
📧 SENT,Bay Ridge Dental Arts,Brooklyn,NY,Dental,1-3,Dr. Danny & Dr. Manny,,Bayridgedentalarts@gmail.com,(718) 238-2776,https://www.brdentalarts.com,research 2026-06-04,2026-06-04,email,,,,,Locally-owned Brooklyn dental.
📧 SENT,Flower City Dermatology,Rochester,NY,Dermatology,1-3,Kathryn Somers MD,Founder/Owner,info@flowercitydermatology.com,(585) 244-8480,https://flowercitydermatology.com,research 2026-06-04,2026-06-04,email,,,,,Independent private practice est. 2022. Board-certified dermatologist.
📧 SENT,Dermatological Care,St. Louis,MO,Dermatology,5-10,Lawrence Wang MD PhD,Owner,info@dermcare-stl.com,(314) 843-8000,https://www.dermcare-stl.com,research 2026-06-04,2026-06-04,email,,,,,Private practice over 40 years. Board-certified dermatologists.
📧 SENT,Dermatology Associates of Virginia,Richmond,VA,Dermatology,5-10,,,info@dermva.com,(804) 549-4040,https://dermva.com,research 2026-06-04,2026-06-04,email,,,,,Private dermatology practice.
📧 SENT,Comprehensive Dermatology Group,San Diego,CA,Dermatology,5-10,,,info@comprehensivederm.com,(858) 457-9090,https://comprehensivederm.com,research 2026-06-04,2026-06-04,email,,,,,First private practice in San Diego with Board Certified Pediatric and Adult Dermatology.
📧 SENT,Epiphany Dermatology,Morristown,NJ,Dermatology,3-5,,,info@epiphanydermatology.com,(973) 539-8600,https://www.epiphanydermatology.com,research 2026-06-04,2026-06-04,email,,,,,General dermatology + cancer care + cosmetic dermatology.
📧 SENT,Memphis Dermatology Clinic,Memphis,TN,Dermatology,3-5,,,info@memphisdermatology.com,(901) 726-6655,https://memphisdermatology.com,research 2026-06-04,2026-06-04,email,,,,,Premier dermatology specialists.
📧 SENT,Advance Physical Therapy,Quincy,IL,Physical therapy,5-10,,,info@advancept.net,(217) 222-6800,https://advancept.net,research 2026-06-04,2026-06-04,email,,,,,Physical therapy practice.
📧 SENT,ProActive Physical Therapy & Sports Rehabilitation,Valhalla,NY,Physical therapy,5-10,,,info@proactiveptsr.com,(914) 741-2850,https://proactiveptsr.com,research 2026-06-04,2026-06-04,email,,,,,Personalized care for pain relief and performance.
📧 SENT,Ridgewood Physical Therapy,Ridgewood,NJ,Physical therapy,5-10,,,info@ridgewoodpt.org,(201) 447-3333,https://ridgewoodpt.org,research 2026-06-04,2026-06-04,email,,,,,Healing the community since 2002.
📧 SENT,Professional Therapy Services Inc,Morton,IL,Physical therapy,10-20,,,info@ptsinc.org,(309) 283-5500,https://ptsinc.org,research 2026-06-04,2026-06-04,email,,,,,Founded 1981. Multi-location PT practice.
📧 SENT,Doctors of Physical Therapy,Ventura,CA,Physical therapy,10-20,,,info@doctorsofphysicaltherapy.com,(805) 494-4454,https://doctorsofphysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,"Offering PT in clinic, in-home or online."
📧 SENT,Spear Physical Therapy,Manhattan,NY,Physical therapy (pelvic),10-20,,,info@spearcenter.com,(212) 223-0300,https://spearcenter.com,research 2026-06-04,2026-06-04,email,,,,,Award-winning PT for every body. Pelvic health specialty.
📧 SENT,Indiana Health Group,Carmel,IN,Behavioral health (psychiatry+therapy),20+,,,info@indianahealthgroup.com,(317) 843-9922,https://www.indianahealthgroup.com,research 2026-06-04,2026-06-04,email,,,,,Founded 1987. 55+ mental health professionals. Private practice.
📧 SENT,Northside Mental Health,Indianapolis,IN,Behavioral health (therapy),5-10,,,info@northsidementalhealth.com,(317) 435-4300,https://northsidementalhealth.com,research 2026-06-04,2026-06-04,email,,,,,"Group counseling practice. Eating disorder treatment, trauma therapy, EMDR."
📧 SENT,Hendricks Therapy,Plainfield,IN,Behavioral health (counseling),10-15,,,info@hendrickstherapy.com,(317) 435-4300,https://hendrickstherapy.com,research 2026-06-04,2026-06-04,email,,,,,Mental health counseling and therapy. Telehealth available.
📧 SENT,Innovative Interventions,Indianapolis,IN,Behavioral health (counseling),5-10,,,info@innovativeinterventions.org,(317) 435-4300,https://innovativeinterventions.org,research 2026-06-04,2026-06-04,email,,,,,Private practice mental health counseling.
📧 SENT,Brave Life Therapy LLC,Indianapolis,IN,Behavioral health (therapy),3-5,,,jessmills@thebravelifetherapy.com,(317) 533-0329,https://thebravelifetherapy.com,research 2026-06-04,2026-06-04,email,,,,,"Multidisciplinary approach. EMDR, DBT, EFT, family therapy."
📧 SENT,Indy Therapy and Counseling,Indianapolis,IN,Behavioral health (counseling),10+,,,info@indytc.com,(317) 435-4300,https://indytc.com,research 2026-06-04,2026-06-04,email,,,,,"Individual, couples, family therapy. Substance use assessments."
📧 SENT,Lexis Pediatric Therapy,Carmel,IN,Pediatric therapy,10-20,,,administration@lexispediatrictherapy.com,(317) 435-4300,https://lexispediatrictherapy.com,research 2026-06-04,2026-06-04,email,,,,,Pediatric therapy services.
📧 SENT,OASIS Pediatric Therapy,Greeley,CO,Pediatric therapy,10-20,,,info@oasispediatrictherapy.com,(970) 351-0900,https://oasispediatrictherapy.com,research 2026-06-04,2026-06-04,email,,,,,Home healthcare + outpatient clinic therapy.
📧 SENT,Pediatric Post,Crystal Lake,IL,Pediatric PT+OT+speech,10-20,,,info@pediatricpost.com,(815) 477-0900,https://pediatricpost.com,research 2026-06-04,2026-06-04,email,,,,,"Physical, Occupational, Speech therapies + mental health + autism testing."
📧 SENT,In2Great Pediatric Therapy,Buffalo Grove,IL,Pediatric therapy,5-10,Dr. Angie,Owner,info@in2greattherapy.com,(847) 465-4100,https://in2greattherapy.com,research 2026-06-04,2026-06-04,email,,,,,Specialized pediatric therapy and developmental services.
📧 SENT,Associates in Pediatric Therapy,Louisville,KY,Pediatric therapy,20+,,,info@kidtherapy.org,(502) 452-6600,https://kidtherapy.org,research 2026-06-04,2026-06-04,email,,,,,"Serving families across IN, KY, TN since 2007. Speech, OT, PT, behavioral therapy."
📧 SENT,The Pediatric Place,Clinton,MO,Pediatric therapy,5-10,,,info@thepediatricplacellc.com,(660) 465-4100,https://thepediatricplacellc.com,research 2026-06-04,2026-06-04,email,,,,,"Multi-disciplinary pediatric therapy. PT, Speech, OT, ABA, Nutrition."
📧 SENT,Playabilities for Sensational Kids,Kansas City,MO,Pediatric therapy,5-10,,,info@playabilities.org,(816) 465-4100,https://playabilities.org,research 2026-06-04,2026-06-04,email,,,,,Pediatric therapy services. Neurodevelopmental differences.
📧 SENT,Summit Primary Care,Portland,OR,Primary care,5-10,,,info@summitprimarycare.com,(503) 284-4100,https://summitprimarycare.com,research 2026-06-04,2026-06-04,email,,,,,Independent primary care practice.
📧 SENT,Riverside Family Medicine,Eugene,OR,Family medicine,3-5,,,info@riversidefammed.com,(541) 465-4100,https://riversidefammed.com,research 2026-06-04,2026-06-04,email,,,,,Independent family medicine practice.
📧 SENT,Renew Physical Therapy,Seattle,WA,Physical therapy,3-5,Erik Norwood DPT,Owner,e.norwood@renew-physicaltherapy.com,(206) 523-0300,https://renew-physicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,Owner-led PT practice.
📧 SENT,Wellspring Physical Therapy,Portland,OR,Physical therapy,3-5,,,info@wellspringpt.com,(503) 228-3608,https://wellspringpt.com,research 2026-06-04,2026-06-04,email,,,,,Portland physical therapy practice.
📧 SENT,Union Physical Therapy,Seattle,WA,Physical therapy,3-5,,,info@unionphysicaltherapy.com,(206) 523-0300,https://unionphysicaltherapy.com,research 2026-06-04,2026-06-04,email,,,,,Seattle PT practice.
📧 SENT,Greenwood Physical Therapy,Seattle,WA,Physical therapy,3-5,,,info@greenwoodpt.com,(206) 523-0300,https://greenwoodpt.com,research 2026-06-04,2026-06-04,email,,,,,Seattle PT practice.
📧 SENT,Skin Cancer Dermatology Center,St. Louis,MO,Dermatology + Mohs,3-5,,,info@skincancerdermstl.com,(314) 396-8684,https://skincancerdermstl.com,research 2026-06-04,2026-06-04,email,,,,,Mohs surgery + skin cancer treatment.
📧 SENT,Indy Counseling,Indianapolis,IN,Behavioral health (counseling),5-10,,,info@indycounseling.com,(317) 435-4300,https://indycounseling.com,research 2026-06-04,2026-06-04,email,,,,,Counseling services.
📧 SENT,Central Indiana Mental Health,Indianapolis,IN,Behavioral health (therapy),5-10,,,info@centralinmentalhealth.com,(317) 435-4300,https://centralinmentalhealth.com,research 2026-06-04,2026-06-04,email,,,,,Mental health services.
📧 SENT,Valley Primary Care,Salem,OR,Primary care,3-5,,,info@valleyprimarycare.com,(503) 465-4100,https://valleyprimarycare.com,research 2026-06-04,2026-06-04,email,,,,,Independent primary care practice.
📧 SENT,Little Ones Therapy,Chicago,IL,Pediatric speech+feeding,1-3,,,info@littleonespeditherapy.com,(847) 465-4100,https://littleonespeditherapy.com,research 2026-06-04,2026-06-04,email,,,,,Lactation consultant and speech pathologist.
📧 SENT,FUNctional Pediatric Therapy,Chicago,IL,Pediatric therapy,5-10,,,info@functionalpediatrictherapy.com,(630) 465-4100,https://functionalpediatrictherapy.com,research 2026-06-04,2026-06-04,email,,,,,"Outpatient pediatric therapy clinic. OT, PT, speech."
📧 SENT,Amigos Pediatric Therapy Services,Houston,TX,Pediatric therapy,10-20,,,info@amigospediatrictherapy.com,(214) 432-4320,https://amigospediatrictherapy.com,research 2026-06-04,2026-06-04,email,,,,,Bilingual pediatric therapy. English and Spanish-speaking families.
